IVM_CLI_CIUDAD,IVM_PRO_MARCA,IVM_ALM_CIUDAD,IVM_CANAL
24 DE MAYO,BAVARO,CUENCA,DISTRIBUIDORES
ALFREDO BAQUERIZO MORENO (JUJAN),440,GUAYAQUIL,COBERTURA
ALFREDO BAQUERIZO MORENO (JUJAN),593,GUAYAQUIL,COBERTURA
ALFREDO BAQUERIZO MORENO (JUJAN),FRUIT,GUAYAQUIL,COBERTURA
ALFREDO BAQUERIZO MORENO (JUJAN),FUSSION,GUAYAQUIL,COBERTURA
ALFREDO BAQUERIZO MORENO (JUJAN),IMPERIAL,GUAYAQUIL,COBERTURA
AMBATO,440,CUENCA,DISTRIBUIDORES
AMBATO,440,QUITO,DISTRIBUIDORES
AMBATO,593,CUENCA,DISTRIBUIDORES
AMBATO,AJ.MARCA,CUENCA,DISTRIBUIDORES
AMBATO,AJ.MARCA,QUITO,DISTRIBUIDORES
AMBATO,ANCLA,CUENCA,DISTRIBUIDORES
AMBATO,ANCLA,QUITO,COBERTURA
AMBATO,BAVARO,QUITO,DISTRIBUIDORES
AMBATO,FRUIT,QUITO,DISTRIBUIDORES
AMBATO,FRUITPUNCH,CUENCA,DISTRIBUIDORES
AMBATO,FRUITPUNCH,QUITO,DISTRIBUIDORES
AMBATO,FRUSS,QUITO,DISTRIBUIDORES
AMBATO,FUSSION,QUITO,DISTRIBUIDORES
AMBATO,GIN,QUITO,DISTRIBUIDORES
AMBATO,IMPERIAL,CUENCA,DISTRIBUIDORES
AMBATO,IMPERIAL,QUITO,DISTRIBUIDORES
AMBATO,LAS ROCAS,CUENCA,DISTRIBUIDORES
AMBATO,LAS ROCAS,QUITO,DISTRIBUIDORES
AMBATO,LATITUD CERO,QUITO,DRAFT
AMBATO,OTROS,QUITO,DRAFT
AMBATO,RON 100F,QUITO,DISTRIBUIDORES
AMBATO,TH2,QUITO,DISTRIBUIDORES
AZOGUES,440,CUENCA,COBERTURA
AZOGUES,440,CUENCA,DISTRIBUIDORES
AZOGUES,440,CUENCA,EMPLEADOS
AZOGUES,AJ.MARCA,CUENCA,COBERTURA
AZOGUES,AJ.MARCA,CUENCA,DISTRIBUIDORES
AZOGUES,BAVARO,CUENCA,DISTRIBUIDORES
AZOGUES,BAVARO,QUITO,DISTRIBUIDORES
AZOGUES,CASTILLO DE LIRA,CUENCA,DISTRIBUIDORES
AZOGUES,DEL MONTE,CUENCA,COBERTURA
AZOGUES,DEL MONTE,CUENCA,DISTRIBUIDORES
AZOGUES,FRUIT,CUENCA,COBERTURA
AZOGUES,FRUIT,CUENCA,DISTRIBUIDORES
AZOGUES,FRUIT,CUENCA,EMPLEADOS
AZOGUES,FRUITPUNCH,CUENCA,COBERTURA
AZOGUES,FRUITPUNCH,CUENCA,DISTRIBUIDORES
AZOGUES,FRUSS,CUENCA,DISTRIBUIDORES
AZOGUES,FRUSS,QUITO,DISTRIBUIDORES
AZOGUES,FUSSION,CUENCA,DISTRIBUIDORES
AZOGUES,FUSSION,GUAYAQUIL,DISTRIBUIDORES
AZOGUES,GASGUA,CUENCA,DISTRIBUIDORES
AZOGUES,GIN,CUENCA,COBERTURA
AZOGUES,GIN,CUENCA,DISTRIBUIDORES
AZOGUES,IMPERIAL,CUENCA,COBERTURA
